"Address","Latitude","Longitude"
"BTI",70.1340026855,-143.582000732
"LUR",68.87509918,-166.1100006
"PIZ",69.73290253,-163.0050049
"ITO",19.721399307251,-155.048004150391
"ORL",28.545499801636,-81.332901000977
"BTT",66.91390228,-151.529007
"Z84",64.301201,-149.119995
"UTO",65.99279785,-153.7039948
"FYU",66.5715026855469,-145.25
"SVW",61.09740067,-155.5740051
"FRN",61.26639938,-149.6529999
"TLJ",62.8944015503,-155.977005005
"CZF",61.78030014,-166.0390015
"BED",42.47000122,-71.28900146
"SNP",57.1673011779785,-170.220001220703
"EHM",58.6464004517,-162.06300354
"STG",56.5783004761,-169.662002563
"ILI",59.75439835,-154.9109955
"PTU",59.0113983154297,-161.820007324219
"BMX",59.3611984253,-155.259002686
"OSC",44.45159912,-83.39409637
"OAR",36.68190002,-121.762001
"MHR",38.55390167,-121.2979965
"BYS",35.2804985046,-116.629997253
"NXP",34.2961998,-116.1620026
"FSM",35.3366012573242,-94.3674011230469
"MRI",61.2135009765625,-149.843994140625
"GNT",35.167301178,-107.902000427
"PNC",36.73199844,-97.09980011
"SVN",32.00999832,-81.14569855
"GFK",47.949299,-97.176102
"PBF",34.1730995178,-91.9356002808
"NSE",30.7241993,-87.02189636
"HNM",20.7956008911133,-156.014007568359
"PRC",34.65449905,-112.4199982
"TTN",40.2766990661621,-74.8134994506836
"BOS",42.36429977,-71.00520325
"SUU",38.262699127197,-121.92700195312
"RME",43.23379898,-75.40699768
"ENV",40.7187004089,-114.03099823
"BFM",30.6268005371,-88.0680999756
"OAK",37.7212982177734,-122.221000671387
"OMA",41.3031997680664,-95.8940963745117
"NOW",48.1414985656738,-123.414001464844
"OGG",20.8985996246338,-156.429992675781
"ICT",37.6498985290527,-97.4330978393555
"MCI",39.2976,-94.713898
"MSN",43.1399002075195,-89.3375015258789
"DLG",59.04470062,-158.5050049
"HRO",36.2615013122559,-93.1547012329102
"PHX",33.4342994689941,-112.012001037598
"BGR",44.8073997497559,-68.8281021118164
"FXE",26.1972999573,-80.1707000732
"GGG",32.3839988708496,-94.7115020751953
"AND",34.4945983887,-82.7093963623
"GEG",47.6198997497559,-117.533996582031
"HWO",26.0011997223,-80.2406997681
"SFO",37.6189994812012,-122.375
"CTB",48.6083984375,-112.375999451
"ARA",30.0378,-91.883904
"GNV",29.6900997162,-82.2717971802
"MEM",35.0424003601074,-89.9766998291016
"DUG",31.4689998627,-109.603996277
"BIG",63.9944992065,-145.722000122
"CNW",31.6378002167,-97.0740966797
"ANN",55.0424003601074,-131.572006225586
"CAR",46.8714981079,-68.0178985596
"LRF",34.9169006348,-92.1496963501
"HUA",34.67869949,-86.68479919
"POB",35.1708984375,-79.014503479004
"DHT",36.0225982666,-102.54699707
"DLF",29.359500885,-100.777999878
"LAX",33.94250107,-118.4079971
"ANB",33.58819962,-85.85810089
"CLE",41.4117012024,-81.8498001099
"DOV",39.12950134,-75.46600342
"CVG",39.0488014221,-84.6678009033
"FME",39.0853996277,-76.7593994141
"NID",35.6853981,-117.6920013
"HON",44.3852005004883,-98.2285003662109
"JNU",58.3549995422363,-134.57600402832
"LFT",30.20529938,-91.98760223
"EWR",40.6925010681152,-74.168701171875
"BOI",43.56439972,-116.2229996
"INS",36.5872001648,-115.672996521
"GCK",37.9275016785,-100.723999023
"MOT",48.2593994140625,-101.279998779297
"HHI",21.48349953,-158.0399933
"MXF",32.3829002380371,-86.3657989501953
"\N",34.85010147,-92.30020142
"DAL",32.8470993041992,-96.8517990112305
"FCS",38.67839813,-104.7570038
"HLN",46.6068000793457,-111.983001708984
"NKX",32.86840057,-117.1429977
"LUF",33.5349998474,-112.383003235
"\N",30.4277992248535,-86.6893005371094
"HHR",33.922798,-118.334999
"HUL",46.1231002808,-67.792098999
"END",36.3391990662,-97.9164962769
"NTD",34.120300293,-119.121002197
"EDW",34.905399,-117.884003
"LCH",30.1261005401611,-93.2232971191406
"KOA",19.7388000488281,-156.046005249023
"MYR",33.6796989441,-78.9282989502
"NLC",36.33300018,-119.9520035
"ACK",41.25310135,-70.06020355
"FAF",37.1324996948,-76.6088027954
"HOP",36.668598175,-87.4962005615
"DCA",38.8521,-77.037697
"NHK",38.2859993,-76.41179657
"PSX",28.727500915527,-96.250999450684
"BYH",35.9642982483,-89.9440002441
"ACY",39.4575996398926,-74.5772018432617
"TIK",35.414699554443,-97.386596679688
"PUB",38.2891006469727,-104.497001647949
"PQI",46.68899918,-68.0447998
"GRF",47.07920074,-122.5810013
"ADQ",57.75,-152.4940033
"UPP",20.2653007507324,-155.860000610352
"FLL",26.0725994110107,-80.152702331543
"MKO",35.65650177,-95.36669922
"INL",48.5662002563477,-93.4030990600586
"SLC",40.7883987426758,-111.977996826172
"CDS",34.4337997437,-100.288002014
"BIX",30.4104003906,-88.9244003296
"LSF",32.3372993469,-84.9913024902
"FRI",39.05530167,-96.76450348
"MDT",40.1935005188,-76.7633972168
"LNK",40.851001739502,-96.7592010498047
"LAN",42.7787017822266,-84.58740234375
"MUE",20.0013008117676,-155.667999267578
"MSS",44.9357986450195,-74.8455963134766
"HKY",35.74110031,-81.38950348
"SPG",27.765100479126,-82.6269989013672
"FMY",26.58659935,-81.8632965088
"IAH",29.9843997955322,-95.3414001464844
"MLT",45.6478004455566,-68.6856002807617
"ADW",38.810798645,-76.8669967651
"INT",36.1337013244629,-80.2220001220703
"VCV",34.5974998474,-117.383003235
"CEW",30.778799057,-86.522102356
"GTB",44.05559921,-75.71949768
"PHN",42.9109993,-82.52890015
"BFL",35.43360138,-119.0569992
"ELP",31.80719948,-106.3779984
"HRL",26.2285003662109,-97.6544036865234
"CAE",33.9388008117676,-81.119499206543
"DMA",32.1665000916,-110.883003235
"NPA",30.35269928,-87.31860352
"PNS",30.473400115967,-87.186599731445
"RDR",47.961101532,-97.4011993408
"HOU",29.64539909,-95.27890015
"BKF",39.7016983032,-104.751998901
"ORT",62.9612999,-141.9290009
"PAQ",61.594898223877,-149.089004516602
"PIT",40.49150085,-80.23290253
"BRW",71.285402,-156.766008
"EFD",29.6072998047,-95.1587982178
"NUW",48.35179901,-122.6559982
"ALI",27.7409000397,-98.0269012451
"VAD",30.9678001404,-83.1930007935
"MIA",25.7931995391846,-80.2906036376953
"SEA",47.4490013122559,-122.30899810791
"CHA",35.0353012084961,-85.2037963867188
"BDR",41.163501739502,-73.1261978149414
"JAN",32.3111991882,-90.0758972168
"GLS",29.2653007507324,-94.8603973388672
"LGB",33.81769943,-118.1520004
"HDH",21.5795001984,-158.197006226
"IPT",41.2417984008789,-76.9210968017578
"IND",39.7173,-86.294403
"SZL",38.73030090332,-93.547897338867
"AKC",41.0374984741,-81.4669036865
"GWO",33.4943008423,-90.0847015381
"HPN",41.0670013427734,-73.7076034545898
"FOK",40.8437004089,-72.6317977905
"JBR",35.8316993713379,-90.6464004516602
"\N",37.7988014221,-116.78099823
"LNA",26.59300041,-80.08509827
"NZY",32.69919968,-117.2149963
"BIF",31.84950066,-106.3799973
"YUM",32.65660095,-114.6060028
"CNM",32.3375015258789,-104.263000488281
"DLH",46.8420982361,-92.1936035156
"BET",60.77980042,-161.8379974
"LOU",38.2280006409,-85.6636962891
"FHU",31.5884990692139,-110.34400177002
"LIH",21.9759998321533,-159.339004516602
"HUF",39.4514999389648,-87.3076019287109
"HVR",48.54299927,-109.762001
"MWH",47.20769882,-119.3199997
"MPV",44.20349884,-72.56230164
"\N",33.2397994995117,-119.458000183105
"RIC",37.505199432373,-77.3197021484375
"SHV",32.4466018676758,-93.8255996704102
"CDV",60.4917984,-145.4779968
"ORF",36.8945999145508,-76.2012023925781
"BPT",29.9507999420166,-94.0206985473633
"SAV",32.12760162,-81.20210266
"HIF",41.12403,-111.973086
"OME",64.5121994018555,-165.445007324219
"\N",45.7709999084473,-122.861999511719
"PIE",27.91020012,-82.68740082
"MNM",45.1267013549805,-87.6383972167969
"CXO",30.3518009186,-95.4144973755
"SCC",70.19470215,-148.4649963
"SAT",29.5337009429932,-98.4698028564453
"ROC",43.1189002990723,-77.6724014282227
"COF",28.2348995209,-80.6100997925
"TEB",40.8501014709,-74.060798645
"RCA",44.14500046,-103.1039963
"RDU",35.8776016235352,-78.7874984741211
"DAY",39.902400970459,-84.2193984985352
"ENA",60.5731010437012,-151.244995117188
"MLC",34.88240051,-95.78350067
"IAG",43.1072998046875,-78.9461975097656
"CFD",30.7157001495,-96.3313980103
"\N",31.88909912,-81.56230164
"PHF",37.13190079,-76.49299622
"ESF",31.3948993683,-92.2957992554
"LTS",34.667098999,-99.2667007446
"TUS",32.1161003112793,-110.94100189209
"MIB",48.41559982,-101.3580017
"BAB",39.136100769,-121.43699646
"IKK",41.0713996887,-87.8462982178
"GSB",35.33940125,-77.96060181
"PVD",41.7326011657715,-71.4204025268555
"SBY",38.3404998779297,-75.5102996826172
"RIU",38.4868011474609,-121.102996826172
"BUR",34.2006988525391,-118.359001159668
"DTW",42.2123985290527,-83.353401184082
"TPA",27.9755001068115,-82.533203125
"PMB",48.9425010681,-97.2407989502
"POE",31.0447998,-93.1917038
"EIL",64.66570282,-147.102005
